Numer X Y H 
@10513 5593348.169 6576072.439 -0.003 
@10514 5593348.219 6576072.439 -0.003 
@10515 5593348.269 6576072.439 -0.003 
@10516 5593348.319 6576072.439 -0.003 
@10517 5593348.369 6576072.439 -0.003 
@10518 5593348.419 6576072.439 -0.003 
@10519 5593348.469 6576072.439 -0.003 
@1052 5593347.369 6576071.639 -0.002 
@10520 5593348.519 6576072.439 -0.003 
@10521 5593348.569 6576072.439 -0.003 
@10522 5593348.619 6576072.439 -0.004 
@10523 5593348.669 6576072.439 -0.004 
@10524 5593348.719 6576072.439 -0.004 
@10525 5593348.769 6576072.439 -0.004 
@10526 5593348.819 6576072.439 -0.003 
@10527 5593348.869 6576072.439 -0.003 
@10528 5593348.919 6576072.439 -0.003 
@10529 5593348.969 6576072.439 -0.002 
@1053 5593347.369 6576071.689 -0.002 
@10530 5593349.019 6576072.439 -0.003 
@10531 5593349.069 6576072.439 -0.004 
@10532 5593349.119 6576072.439 -0.004 
@10533 5593349.169 6576072.439 -0.004 
@10534 5593349.219 6576072.439 -0.004 
@10535 5593349.269 6576072.439 -0.004 
@10536 5593349.319 6576072.439 -0.004 
@10537 5593349.369 6576072.439 -0.004 
@10538 5593349.419 6576072.439 -0.004 
@10539 5593349.469 6576072.439 -0.004 
@1054 5593347.369 6576071.739 -0.002 
@10540 5593349.519 6576072.439 -0.003 
@10541 5593349.569 6576072.439 -0.003 
@10542 5593349.619 6576072.439 -0.004 
@10543 5593349.669 6576072.439 -0.004 
@10544 5593349.719 6576072.439 -0.003 
@10545 5593349.769 6576072.439 -0.002 
@10546 5593349.819 6576072.439 -0.003 
@10547 5593349.869 6576072.439 -0.004 
@10548 5593349.919 6576072.439 -0.004 
@10549 5593349.969 6576072.439 -0.004 
@1055 5593347.369 6576071.789 -0.003 
@10550 5593350.019 6576072.439 -0.004 
@10551 5593350.069 6576072.439 -0.004 
@10552 5593350.119 6576072.439 -0.003 
@10553 5593350.169 6576072.439 -0.002 
@10554 5593350.219 6576072.439 -0.003 
@10555 5593350.269 6576072.439 -0.004 
@10556 5593350.319 6576072.439 -0.003 
@10557 5593350.369 6576072.439 -0.002 
@10558 5593350.419 6576072.439 -0.003 
@10559 5593350.469 6576072.439 -0.003 
@1056 5593347.369 6576071.839 -0.004 
@10560 5593350.519 6576072.439 -0.002 
@10561 5593350.569 6576072.439 -0.001 
@10562 5593350.619 6576072.439 -0.001 
@10563 5593350.669 6576072.439 -0.002 
@10564 5593350.719 6576072.439 -0.001 
@10565 5593350.769 6576072.439 -0.001 
@10566 5593350.819 6576072.439 0.000 
@10567 5593350.869 6576072.439 0.000 
@10568 5593350.919 6576072.439 0.000 
@10569 5593350.969 6576072.439 0.001 
@1057 5593347.369 6576071.889 -0.004 
@10570 5593351.019 6576072.439 0.001 
@10571 5593351.069 6576072.439 0.001 
@10572 5593351.119 6576072.439 0.001 
@10573 5593351.169 6576072.439 0.001 
@10574 5593351.219 6576072.439 0.001 
@10575 5593351.269 6576072.439 0.002 
@10576 5593351.319 6576072.439 0.002 
@10577 5593351.369 6576072.439 0.002 
@10578 5593351.419 6576072.439 0.002 
@10579 5593351.469 6576072.439 0.002 
@1058 5593347.369 6576071.939 -0.004 
@10580 5593351.519 6576072.439 0.003 
@10581 5593351.569 6576072.439 0.003 
@10582 5593351.619 6576072.439 0.003 
@10583 5593351.669 6576072.439 0.003 
@10584 5593351.719 6576072.439 0.003 
@10585 5593351.769 6576072.439 0.004 
@10586 5593351.819 6576072.439 0.004 
@10587 5593351.869 6576072.439 0.004 
@10588 5593351.919 6576072.439 0.004 
@10589 5593351.969 6576072.439 0.004 
@1059 5593347.369 6576071.989 -0.003 
